observ;barrio;calle;altura;institu1;institu3;distanci;edpub;estserv;banco;totrob;mes
812;Once;Bartolome Mitre;a2800/2900;0;0;3;0;0;0;0;4
735;Once;Ecuador;a300;0;1;1;0;0;1;0;4
743;Once;Boulogne Sur Mer;a300;0;1;1;0;0;0;0;4
829;Once;Sarmiento;a3000;0;0;2;0;0;0;0;4
734;Once;Ecuador;a200;0;1;1;0;0;0;0;4
725;Once;Jean Jaures;a200;0;0;2;0;0;0;0;4
828;Once;Sarmiento;a2900;0;0;2;0;0;0;0;4
733;Once;Ecuador;a0-100;0;0;4;0;0;0;0;4
727;Once;Jean Jaures;a400;0;0;2;1;1;0;0;4
726;Once;Jean Jaures;a300;0;0;2;0;0;0;0;4
805;Once;Rivadavia;a2900;0;0;5;0;0;0;0;4
840;Once;Corrientes;a2800;0;0;2;0;0;0;0;4
842;Once;Corrientes;a3000;0;1;1;0;0;0;0;4
841;Once;Corrientes;a2900;0;1;1;0;0;0;0;4
764;Once;Castelli;a400;0;0;2;0;0;0;0;4
811;Once;Bartolome Mitre;a2700;0;0;3;0;0;0;0;4
816;Once;Tte. Gral. Peron;a2500;0;1;1;0;0;0;0;4
760;Once;Castelli;a0-100;0;0;4;0;0;0;0;4
824;Once;Sarmiento;a2500;0;0;2;0;0;1;1;4
809;Once;Bartolome Mitre;a2500;0;0;2;0;0;0;0;4
765;Once;Paso;a0-100;0;0;3;0;0;0;0;4
801;Once;Rivadavia;a2500;0;0;3;0;0;1;0;4
831;Once;Valentin Gomez;a2700;0;0;2;0;0;0;0;4
826;Once;Sarmiento;a2700;0;0;3;0;0;0;0;4
763;Once;Castelli;a300;0;0;3;0;0;0;0;4
762;Once;Castelli;a200;0;0;3;0;0;0;0;4
810;Once;Bartolome Mitre;a2600;0;0;3;0;0;0;0;4
825;Once;Sarmiento;a2600;0;0;3;0;0;1;1;4
767;Once;Paso;a200;0;0;2;0;0;0;0;4
761;Once;Castelli;a100;0;0;3;0;0;0;0;4
818;Once;Tte. Gral. Peron;a2700;0;0;2;0;0;0;0;4
830;Once;Valentin Gomez;a2600;0;0;2;0;0;0;0;4
817;Once;Tte. Gral. Peron;a2600;0;0;2;0;0;0;0;4
768;Once;Paso;a300;0;1;1;0;0;0;0;4
803;Once;Rivadavia;a2700;0;0;4;0;0;0;0;4
802;Once;Rivadavia;a2600;0;0;4;0;0;1;0;4
766;Once;Paso;a100;0;0;2;0;0;0;0;4
839;Once;Corrientes;a2700;0;0;2;0;0;0;0;4
837;Once;Corrientes;a2500;0;1;1;1;0;1;0;4
838;Once;Corrientes;a2600;0;1;1;0;0;1;0;4
753;Once;Pueyrredon;a300;0;0;2;0;0;1;0;4
751;Once;Pueyrredon;a100;0;0;2;0;0;0;0;4
750;Once;Pueyrredon;a0-100;0;0;3;0;0;0;0;4
752;Once;Pueyrredon;a200;0;0;2;0;0;1;0;4
754;Once;Pueyrredon;a400;0;0;2;0;0;0;0;4
524;V. Crespo;Araoz;a500;0;0;3;0;0;0;0;4
522;V. Crespo;Araoz;a300;0;0;3;0;0;0;0;4
523;V. Crespo;Araoz;a400;0;0;4;0;0;0;0;4
571;V. Crespo;Apolinario Figuer;a400;0;0;4;0;0;0;0;4
593;V. Crespo;Honorio Pueyrredo;a1500;0;0;5;0;0;0;1;4
595;V. Crespo;Honorio Pueyrredo;a1700;0;0;5;0;0;0;0;4
592;V. Crespo;Honorio Pueyrredo;a1400;0;0;6;0;0;0;0;4
594;V. Crespo;Honorio Pueyrredo;a1600;0;0;5;0;0;0;0;4
566;V. Crespo;Antezana;a400;0;0;3;0;0;0;0;4
590;V. Crespo;Honorio Pueyrredo;a1200;0;0;4;0;0;0;0;4
596;V. Crespo;Honorio Pueyrredo;a1800;0;0;6;0;0;1;0;4
